zip codes within 20.0 miles:
     20001 Washington, DC 1.47 
     20002 Washington, DC 0.00 
     20003 Washington, DC 1.40 
     20004 Washington, DC 2.02 
     20005 Washington, DC 2.15 
     20006 Washington, DC 2.76 
     20007 Washington, DC 4.42 
     20008 Washington, DC 4.37 
     20009 Washington, DC 2.79 
     20010 Washington, DC 3.00 
     20011 Washington, DC 3.83 
     20012 Washington, DC 5.64 
     20013 Washington, DC 1.40 
     20015 Washington, DC 6.00 
     20016 Washington, DC 5.83 
     20017 Washington, DC 2.46 
     20018 Washington, DC 2.04 
     20019 Washington, DC 2.93 
     20020 Washington, DC 2.87 
     20024 Washington, DC 2.31 
     20026 Washington, DC 1.40 
     20029 Washington, DC 1.40 
     20030 Washington, DC 1.40 
     20032 Washington, DC 4.56 
     20033 Washington, DC 1.40 
     20035 Washington, DC 1.40 
     20036 Washington, DC 2.74 
     20037 Washington, DC 3.24 
     20038 Washington, DC 1.40 
     20039 Washington, DC 1.40 
     20040 Washington, DC 1.40 
     20041 Washington, DC 1.40 
     20042 Washington, DC 1.40 
     20043 Washington, DC 1.40 
     20044 Washington, DC 1.40 
     20045 Washington, DC 2.23 
     20046 Washington, DC 1.40 
     20047 Washington, DC 1.40 
     20049 Washington, DC 1.66 
     20050 Washington, DC 1.40 
     20051 Washington, DC 1.40 
     20052 Washington, DC 3.06 
     20053 Washington, DC 1.40 
     20055 Washington, DC 1.61 
     20056 Washington, DC 1.40 
     20057 Washington, DC 1.40 
     20058 Washington, DC 1.40 
     20059 Washington, DC 1.40 
     20060 Washington, DC 1.94 
     20061 Washington, DC 1.40 
     20062 Washington, DC 2.47 
     20063 Washington, DC 3.00 
     20064 Washington, DC 2.18 
     20065 Washington, DC 2.37 
     20066 Washington, DC 1.40 
     20067 Washington, DC 1.40 
     20068 Washington, DC 1.40 
     20069 Washington, DC 1.40 
     20070 Washington, DC 1.40 
     20071 Washington, DC 1.40 
     20073 Washington, DC 1.86 
     20074 Washington, DC 1.40 
     20075 Washington, DC 1.40 
     20076 Washington, DC 1.40 
     20077 Washington, DC 1.40 
     20078 Washington, DC 1.40 
     20080 Washington, DC 1.40 
     20081 Washington, DC 1.40 
     20082 Washington, DC 1.40 
     20088 Washington, DC 1.40 
     20090 Washington, DC 1.40 
     20091 Washington, DC 1.40 
     20097 Washington, DC 1.40 
     20098 Washington, DC 1.40 
     20099 Washington, DC 1.40 
     20122 Centreville, VA 16.72 
     20153 Chantilly, VA 16.72 
     20172 Herndon, VA 16.72 
     20190 Reston, VA 19.50 
     20191 Reston, VA 19.26 
     20192 Herndon, VA 16.72 
     20193 Reston, VA 16.72 
     20194 Reston, VA 19.80 
     20195 Reston, VA 16.72 
     20196 Reston, VA 16.72 
     20201 Washington, DC 1.40 
     20202 Washington, DC 1.40 
     20203 Washington, DC 3.00 
     20204 Washington, DC 1.40 
     20206 Washington, DC 1.40 
     20207 Washington, DC 1.40 
     20208 Washington, DC 1.17 
     20210 Washington, DC 1.40 
     20211 Washington, DC 1.40 
     20212 Washington, DC 1.40 
     20213 Washington, DC 1.40 
     20214 Washington, DC 1.40 
     20215 Washington, DC 1.40 
     20216 Washington, DC 1.42 
     20217 Washington, DC 1.40 
     20218 Washington, DC 1.40 
     20219 Washington, DC 1.40 
     20220 Washington, DC 1.40 
     20221 Washington, DC 1.40 
     20222 Washington, DC 1.40 
     20223 Washington, DC 1.40 
     20224 Washington, DC 1.40 
     20226 Washington, DC 1.40 
     20227 Washington, DC 1.40 
     20228 Washington, DC 1.40 
     20229 Washington, DC 1.40 
     20230 Washington, DC 1.40 
     20231 Washington, DC 1.40 
     20232 Washington, DC 2.59 
     20233 Washington, DC 1.40 
     20235 Washington, DC 3.68 
     20238 Washington, DC 1.40 
     20239 Washington, DC 1.40 
     20240 Washington, DC 2.70 
     20241 Washington, DC 1.40 
     20242 Washington, DC 3.11 
     20244 Washington, DC 1.40 
     20245 Washington, DC 1.40 
     20250 Washington, DC 2.46 
     20251 Washington, DC 1.40 
     20254 Washington, DC 1.40 
     20260 Washington, DC 1.40 
     20261 Washington, DC 1.40 
     20262 Washington, DC 1.40 
     20265 Washington, DC 1.40 
     20266 Washington, DC 1.40 
     20268 Washington, DC 1.40 
     20270 Washington, DC 1.40 
     20277 Washington, DC 1.40 
     20289 Washington, DC 1.40 
     20299 Washington, DC 1.40 
     20301 Washington, DC 2.32 
     20303 Washington, DC 1.40 
     20306 Washington, DC 1.40 
     20307 Washington, DC 1.40 
     20310 Washington, DC 1.40 
     20314 Washington, DC 1.40 
     20315 Washington, DC 2.36 
     20317 Washington, DC 2.28 
     20318 Washington, DC 1.40 
     20319 Washington, DC 2.71 
     20330 Washington, DC 1.40 
     20332 Washington, DC 5.17 
     20336 Washington, DC 3.92 
     20337 Washington, DC 1.40 
     20338 Washington, DC 1.40 
     20340 Washington, DC 1.40 
     20350 Washington, DC 1.40 
     20370 Washington, DC 1.40 
     20372 Washington, DC 1.40 
     20373 Washington, DC 1.40 
     20374 Washington, DC 3.25 
     20375 Washington, DC 5.73 
     20380 Washington, DC 1.40 
     20388 Washington, DC 2.04 
     20389 Washington, DC 1.40 
     20390 Washington, DC 1.40 
     20391 Washington, DC 1.40 
     20392 Washington, DC 1.40 
     20393 Washington, DC 1.40 
     20394 Washington, DC 1.40 
     20395 Washington, DC 1.40 
     20398 Washington, DC 1.40 
     20401 Washington, DC 1.40 
     20402 Washington, DC 1.40 
     20403 Washington, DC 1.40 
     20404 Washington, DC 0.98 
     20405 Washington, DC 1.40 
     20406 Washington, DC 1.40 
     20407 Washington, DC 1.40 
     20408 Washington, DC 1.40 
     20409 Washington, DC 1.40 
     20410 Washington, DC 1.40 
     20411 Washington, DC 2.08 
     20412 Washington, DC 1.73 
     20413 Washington, DC 1.40 
     20414 Washington, DC 2.08 
     20415 Washington, DC 1.40 
     20416 Washington, DC 1.40 
     20418 Washington, DC 3.56 
     20419 Washington, DC 1.40 
     20420 Washington, DC 1.97 
     20421 Washington, DC 1.40 
     20422 Washington, DC 1.40 
     20423 Washington, DC 1.40 
     20424 Washington, DC 1.40 
     20425 Washington, DC 1.40 
     20426 Washington, DC 1.40 
     20427 Washington, DC 1.40 
     20428 Washington, DC 1.40 
     20429 Washington, DC 1.40 
     20431 Washington, DC 2.79 
     20433 Washington, DC 2.74 
     20434 Washington, DC 1.40 
     20435 Washington, DC 2.66 
     20436 Washington, DC 1.67 
     20437 Washington, DC 3.09 
     20439 Washington, DC 1.40 
     20440 Washington, DC 3.04 
     20441 Washington, DC 2.87 
     20442 Washington, DC 1.49 
     20444 Washington, DC 1.40 
     20447 Washington, DC 2.19 
     20451 Washington, DC 2.89 
     20453 Washington, DC 1.40 
     20456 Washington, DC 2.66 
     20460 Washington, DC 2.31 
     20463 Washington, DC 1.40 
     20468 Washington, DC 1.40 
     20469 Washington, DC 1.40 
     20470 Washington, DC 1.40 
     20472 Washington, DC 1.40 
     20500 Washington, DC 2.47 
